	C16-20002-TZ	C16-20003-TZ	C16-20005-TZ	C16-20070-TZ	C16-20071-TZ	C16-20072-TZ	C16-20073-TZ	C16-20117-TZ	C16-20118-TZ	C16-20119-TZ	C16-20123-TZ	C16-20135-TZ	C16-20152-TZ	C16-20153-TZ	C16-20197-TZ	C16-20198-TZ	C16-20211-TZ	C16-20212-TZ	C16-20215-TZ	C16-20237-TZ	C16-20238-TZ	C16-20246-TZ	C16-20247-TZ	C16-20248-TZ	C16-20340-TZ	C16-20341-TZ	C16-20345-TZ	C16-20346-TZ	C16-20347-TZ	C16-20371-TZ	C16-20372-TZ	C16-20373-TZ	C16-20374-TZ	C16-20415-TZ	C16-20416-TZ	C16-20417-TZ	C16-20437-TZ	C16-20438-TZ	C16-20439-TZ	C16-20440-TZ	C16-20441-TZ	C16-20470-TZ	C16-20471-TZ	C16-20473-TZ	C16-20474-TZ	C16-20475-TZ	C16-20491-TZ	C16-20492-TZ	C16-20493-TZ	C16-20494-TZ	C16-20548-TZ	C16-20549-TZ	C16-20550-TZ	C16-20551-TZ	C16-20554-TZ	C16-20557-TZ	C16-20558-TZ	C16-20625-TZ	C16-20626-TZ	C16-20627-TZ	C16-20645-TZ	C16-20646-TZ	C16-20647-TZ	C16-20648-TZ	C16-20649-TZ	C16-20650-TZ	C16-20651-TZ	C16-20652-TZ
subjectID	C16-10012-TZ_M	C16-10012-TZ_F	C16-10012-TZ_U1	C16-10041-TZ_F	C16-10041-TZ_M	C16-10041-TZ_S1	C16-10041-TZ_A1	C16-10060-TZ_F	C16-10060-TZ_M	C16-10060-TZ_S1	C16-10060-TZ_S3	C16-10060-TZ_S2	C16-10066-TZ_F	C16-10066-TZ_M	C16-10086-TZ_F	C16-10086-TZ_M	C16-10093-TZ_M	C16-10093-TZ_F	C16-10093-TZ_GM1	C16-10110-TZ_U1	C16-10110-TZ_GM1	C16-10110-TZ_F	C16-10110-TZ_C1	C16-10110-TZ_M	C16-10170-TZ_F	C16-10170-TZ_S1	C16-10171-TZ_M	C16-10171-TZ_F	C16-10171-TZ_U1	C16-10177-TZ_M	C16-10177-TZ_S2	C16-10177-TZ_S1	C16-10177-TZ_S3	C16-10214-TZ_F	C16-10214-TZ_M	C16-10214-TZ_S1	C16-10245-TZ_F	C16-10245-TZ_M	C16-10245-TZ_S2	C16-10245-TZ_S1	C16-10245-TZ_S3	C16-10266-TZ_M	C16-10266-TZ_F	C16-10266-TZ_A1	C16-10266-TZ_C1	C16-10266-TZ_C2	C16-10267-TZ_F	C16-10267-TZ_A1	C16-10267-TZ_C1	C16-10267-TZ_C2	C16-10309-TZ_S1	C16-10309-TZ_S2	C16-10309-TZ_S3	C16-10309-TZ_S4	C16-10321-TZ_M	C16-10321-TZ_S1	C16-10321-TZ_F	C16-10448-TZ_M	C16-10448-TZ_F	C16-10448-TZ_U1	C16-10463-TZ_M	C16-10463-TZ_F	C16-10463-TZ_S1	C16-10463-TZ_S2	C16-10463-TZ_S3	C16-10463-TZ_S4	C16-10463-TZ_U2	C16-10463-TZ_U1
body_site	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
antibiotics_current_use	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
study_condition	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
disease	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
age	24	25	20	30	21	 3	15	34	28	12	 3	 9	30	24	31	18	20	22	61	36	45	30	 3	20	40	 5	28	28	 9	28	12	15	12	31	25	 5	47	33	 9	 9	 3	20	27	25	 5	 3	34	14	 9	 9	15	12	 7	 5	28	 1	31	20	25	20	34	40	18	14	 7	 7	 0	 5
age_category	adult	adult	adult	adult	adult	child	schoolage	adult	adult	schoolage	child	child	adult	adult	adult	schoolage	adult	adult	adult	adult	adult	adult	child	adult	adult	child	adult	adult	child	adult	schoolage	schoolage	schoolage	adult	adult	child	adult	adult	child	child	child	adult	adult	adult	child	child	adult	schoolage	child	child	schoolage	schoolage	child	child	adult	child	adult	adult	adult	adult	adult	adult	schoolage	schoolage	child	child	newborn	child
country	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA	TZA
gender	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
